node,neighbors
21674914,"21674915,2429781615,26120299"
21674915,"8821278639,10138203531"
21674920,25468304
21696145,"21696193,143421"
21696191,"143417,21696145"
21696192,"18232183,21696145"
21696193,34235997
21702418,"8168819584,8087900725"
21702423,"3770573715,21702437,8088285562"
21702431,"10262507945,21702433"
21702433,18232180
21702435,"3770573715,29006600,8088285559"
21702437,8168819584
21702438,"1029591870,21702423"
21702760,"1957527534,1957527546"
21703544,"9516750676,21703552"
21703552,8906537924
21703587,"8168819585,21703594,21703589"
21703589,"21703590,21703587"
21703590,"21703591,21703595"
21703591,"21703589,21703598"
21703594,"21703587,2920302042,21703595"
21703595,"21703596,21703594,21704335"
21703596,"21703598,21703595"
21703598,"21704344,21703591"
21704334,"21704346,21703596"
21704335,"21704334,21704340,21704339"
21704337,"2920302042,932576342"
21704339,21718264
21704340,"21717954,21704341"
21704341,"21704334,21704340,21704347"
21704344,"21704346,21703598,8088247480"
21704346,"21704347,8088247481"
21704347,"21704348,21717908,21704341"
21704348,"21717932,3552894983,21729400"
21704353,"21704354,8087900728"
21704354,"11332038992,8087900725"
21712143,"25173820,26576955"
21712144,"21712143,25173760"
21714980,"143408,21714981,25624670"
21714981,"143403,8149051282,9226922647"
21715353,"644880770,7205400947"
21717905,"1156367438,21717906,8088247481"
21717906,"21717907,8148599278"
21717907,"21717906,21717908"
21717908,"21704347,8088247481"
21717913,"8148599278,21717915,8164417178"
21717915,"12672628783,21717913,8164417173"
21717916,"1201354435,21717918"
21717918,"8148638869,1201354445"
21717919,"21717933,4799805071"
21717927,"21717916,21717934,21717928"
21717928,"21729400,21717929,8088318345,21717927"
21717929,"8088318345,21717930"
21717930,"21717916,21717929"
21717931,"3552894977,21718288,21717939"
21717932,"471133022,21717934"
21717933,"21717919,21717943,21717934"
21717934,"21717933,21717927,21717932"
21717939,"21717946,471133022,1201354425,21717931"
21717941,"21717942,21717943,21717946"
21717942,"4799805074,21717941,21718297"
21717943,"21717941,21717933,471133020"
